zip,year_built,sqft,stories,beds,baths,garage,lastSoldPrice,type_condo,type_coop,type_farm,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhomes
99156.0,1997.0,2710.0,1.0,3.0,3.0,3.0,875085.0,False,False,False,False,False,False,False,True,False
99006.0,1900.0,1460.0,2.0,3.0,2.0,0.0,347902.0,False,False,False,False,False,False,False,True,False
98843.0,2017.0,3770.0,2.0,4.0,4.0,0.0,2539927.0,False,False,False,False,False,False,False,True,False
98311.0,1990.0,4250.0,2.0,3.0,4.0,0.0,744599.0,False,False,False,False,False,False,False,True,False
98102.0,1926.0,3500.0,2.0,3.0,3.0,0.0,1790076.0,False,False,False,False,False,False,False,True,False
98406.0,1927.0,2660.0,2.0,4.0,3.0,0.0,880095.0,False,False,False,False,False,False,False,True,False
98005.0,1979.0,1560.0,2.0,3.0,2.0,0.0,714913.0,True,False,False,False,False,False,False,False,False
98118.0,1927.0,3120.0,2.0,5.0,3.0,0.0,964944.0,False,False,False,False,False,False,False,True,False
98329.0,2025.0,1540.0,1.0,3.0,2.0,0.0,579868.0,False,False,False,False,False,False,False,True,False
98199.0,1928.0,2910.0,2.0,4.0,4.0,0.0,2599906.0,False,False,False,False,False,False,False,True,False
98032.0,1996.0,1200.0,1.0,2.0,2.0,0.0,469944.0,True,False,False,False,False,False,False,False,False
98405.0,1950.0,1700.0,1.0,4.0,2.0,0.0,570092.0,False,False,False,False,False,False,False,True,False
98532.0,1977.0,1780.0,1.0,3.0,2.0,0.0,475055.0,False,False,False,False,False,False,False,True,False
98922.0,1988.0,340.0,1.0,0.0,1.0,0.0,364906.0,False,False,False,False,False,False,False,True,False
98033.0,2025.0,2170.0,1.0,2.0,3.0,0.0,2200090.0,True,False,False,False,False,False,False,False,False
98188.0,1993.0,930.0,3.0,2.0,2.0,0.0,349943.0,True,False,False,False,False,False,False,False,False
98125.0,1954.0,1390.0,2.0,3.0,2.0,0.0,780087.0,False,False,False,False,False,False,False,True,False
98105.0,1949.0,600.0,1.0,1.0,1.0,0.0,320055.0,True,False,False,False,False,False,False,False,False
98409.0,1978.0,1340.0,1.0,2.0,2.0,0.0,80078.0,False,False,False,False,True,False,False,False,False
98642.0,2025.0,2810.0,2.0,4.0,3.0,2.0,724926.0,False,False,False,False,False,False,False,True,False
98371.0,1956.0,1160.0,1.0,3.0,2.0,0.0,489940.0,False,False,False,False,False,False,False,True,False
99037.0,1964.0,3260.0,2.0,4.0,2.0,0.0,389858.0,False,False,False,False,False,False,False,True,False
98382.0,1999.0,1980.0,2.0,3.0,2.0,2.0,558929.0,False,False,False,False,False,False,False,True,False
98203.0,1948.0,2970.0,1.0,3.0,3.0,0.0,1225068.0,False,False,False,False,False,False,False,True,False
98038.0,2006.0,2020.0,2.0,3.0,3.0,0.0,749898.0,False,False,False,False,False,False,False,True,False
