zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,garage,sanitized_text
99156,single_family,1997.0,875054.0,875085.0,1.0,2710.0,322.91,1.0,3.0,3.0,2.0,2.0,3.0,"2, 700+ sq ft residence features 3 beds, 2.5 baths, custom woodwork, expansive interior windows, and beautiful river views throughout. the large primary suite includes an ensuite bath with jetted tub and a walk-in closet."
99006,single_family,1900.0,349989.0,347902.0,0.994,1460.0,238.29,2.0,3.0,2.0,2.0,2.0,,"this beautifully remodeled 3-bedroom, 2-bath home is ideally located in the heart of deer Park. enjoy a bright, open-concept layout that seamlessly connects the living, dining, and kitchen areas."
98843,single_family,2017.0,2594917.0,2539927.0,0.9788,3770.0,673.72,2.0,4.0,4.0,1.0,4.0,,"this stunning home offers 130 feet of prime frontage, low-bank beach access, and a shared dock (2 parties) the property is located in one of the area's most sought-after high-end neighborhoods."
98311,single_family,1990.0,749072.0,744599.0,0.994,4250.0,175.2,2.0,3.0,4.0,1.0,2.0,,"[ADDRESS REDACTED]yle home w/ 3bd /2.75BA /3car garage will surely be plenty of room for everyone! Enter into gated community with picnic area, ponds and trails."
98102,single_family,1926.0,1790072.0,1790076.0,1.0,3500.0,511.45,2.0,3.0,3.0,1.0,2.0,,"the 100-year-old home sits privately above the street, capturing Olympic Mountain vistas and Lake Union seaplane views. classic architectural details-Batchelder fireplace, leaded glass windows, oak floors, and French doors-anchor the space. updated kitchen and sun-filled family room enhance everyday living."
98406,single_family,1927.0,880043.0,880095.0,1.0001,2660.0,330.86,2.0,4.0,3.0,2.0,3.0,,"this 4 bed 3 bath spanning nearly 2,700 sqft home offers the perfect blend of character and convenience. Featuring a fully finished laundry suite complete w/ custom cabinetry and premium finishes."
98005,condo,1979.0,714946.0,714913.0,1.0,1560.0,458.28,2.0,3.0,2.0,1.0,2.0,,"the property is located in popular lake Bellevue village. the property includes new carpeting, quartz counters, laminate flooring."
98118,single_family,1927.0,995085.0,964944.0,0.9697,3120.0,309.28,2.0,5.0,3.0,3.0,3.0,,"oversized lot offers alley access, privacy and room to play. oversized front living room flows to dinning and kitchen that features gas cooking, quartz counter tops, island, walk-in pantry."
98329,single_family,2025.0,580010.0,579868.0,0.9998,1540.0,376.54,1.0,3.0,2.0,2.0,2.0,,"new-construction rambler in the private gated community of Lake Holiday. 1,543 sqft open layout offers 9-ft ceilings, oversized 2-car garage, fully fenced."
98199,single_family,1928.0,2599946.0,2599906.0,1.0,2910.0,893.44,2.0,4.0,4.0,1.0,3.0,,"newly refinished hardwood floors, glass knobs, custom built-ins, and exquisite millwork honor the home's architectural heritage. the open-concept main level flows effortlessly from the living room to the dining area and into a chef-inspired kitchen. upstairs, two serene bedrooms provide elevated retreats."
98032,condo,1996.0,499076.0,469944.0,0.9416,1200.0,391.62,1.0,2.0,2.0,1.0,2.0,,the lakes is an uber desirable planned community designed for an active lifestyle. the lakeside deck will supply you with constant soothing views.
98405,single_family,1950.0,529901.0,570092.0,1.0758,1700.0,335.35,1.0,4.0,2.0,,2.0,,"4-bedroom, 2 shower-bath home offers 1,705 sq ft of thoughtfully updated living space on a generously sized 6,900 sq m lot in one of Tacoma's most convenient neighborhoods. features a brand-new kitchen with modern cabinetry and finishes, a massive primary bedroom, fully updated bathrooms, fresh interior and exterior paint."
